id,set_id,region_id,item_number
183d3209-0116-4945-917e-7e28d538920f,041a9eed-1665-40e5-876e-1875460cf730,1,6175770
bfb431bd-aa71-45b0-861d-4139c907cc17,041a9eed-1665-40e5-876e-1875460cf730,2,6175771
30e55acb-93fa-4586-8029-736d56caec24,4ebe2131-528f-4d73-b4b4-348a9d383bd3,1,6378869
230fdc8e-2cd8-414d-9489-e6effea58a05,4ebe2131-528f-4d73-b4b4-348a9d383bd3,2,6378936
f2d18e7c-f511-4269-8ebf-77d23a7afe00,255fe9a9-acb5-445b-98f1-092cfe4c2272,1,6365777
b4e24a75-8203-42d0-a28b-d4df6eed6bcf,255fe9a9-acb5-445b-98f1-092cfe4c2272,2,6365778
f087e6d2-9b08-4d71-8611-718607e52abc,7e2f89ad-c69f-4bf5-a86c-60b48d793a7b,1,6212630
2d47bd1a-d769-4d70-8ad1-293db4a8110f,7e2f89ad-c69f-4bf5-a86c-60b48d793a7b,2,6212631
ff974863-9757-4d94-a6a6-0d86c34744b6,36fa1db6-f5e6-4b97-8f88-ab99a3aab971,1,6379696
acac446b-873b-442d-9857-ca56118e55e5,36fa1db6-f5e6-4b97-8f88-ab99a3aab971,2,6379697
9e9c4599-9942-47b1-87ef-2e8ca94cd27c,dbb6d273-c3b8-463d-8195-c63d6b641e47,1,6265596
b8e354ae-1c68-400c-89fe-c14f9e8ef41f,dbb6d273-c3b8-463d-8195-c63d6b641e47,2,6265597